"","subdomain-1","subdomain-2","subdomain-3","subdomain-4","subdomain-5","subdomain-6","subdomain-7","subdomain-8","subdomain-9","subdomain-10","subdomain-11","subdomain-12","subdomain-13","subdomain-14"
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_109.swc",421.517177657235,0,43.691773753252,1427.89833631852,0,0,0,0,0,0,0,0,0,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_110.swc",0,0,0,0,0,430.636558783322,1120.02094107833,1308.49021574799,1436.79839146642,0,0,0,1238.58747710055,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_112.swc",6408.23902086745,39488.834757841,3024.58090634659,20270.9919790248,2209.79033639333,283.909308454401,6040.92893913886,2091.22519550863,10952.3459929305,0,0,3206.77719885357,322.611353718068,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_113.swc",468.170315998329,5323.22897524289,0,0,292.327722565,1129.06673168321,6814.13848916463,2408.90581160316,8445.27833299115,0,0,231.764962690326,2042.70081423291,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_116.swc",2725.2430293538,0,0,0,0,0,1095.33794864723,2068.54808967155,0,0,0,0,1291.99860152776,587.782522214044
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_117.swc",5823.99617673554,2825.66841969809,0,198.523759688917,82.803704472798,2409.29505394867,35642.638147468,5242.67454059141,4169.73695573655,383.139826670351,677.457074713,3927.33549316545,4717.33258796698,4901.01292232422
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_120.swc",4387.73786213722,3305.46915974742,0,741.849874181404,1318.42688588337,5280.12153700814,41933.7778663473,7122.80945484333,5466.640956873,621.192227571438,1586.21208139619,14288.8548455756,5826.19385029501,7590.08882802006
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_121.swc",3150.26527944262,629.381857103928,0,45.7701249870418,233.012810720114,6302.02666646204,2815.25642885039,828.732780694904,11256.4113333831,502.20926720346,1483.19326037774,0,8540.15761501322,155.926080534248
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_130.swc",0,0,0,0,0,0,0,43.0323595056075,0,1345.29763251267,1041.71314140304,0,726.083599237051,0
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_137.swc",0,0,0,0,0,0,0,0,0,491.25301363309,2866.5899239889,0,1285.17923529086,594.350771705398
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_139.swc",20146.1385201492,21712.4301460694,1212.05539304436,4503.03291844375,1625.27034613422,3530.68271756561,20671.2927012014,6421.02011781611,24180.8784882184,0,0,1585.59657981842,5579.27010076205,430.820223913189
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_140.swc",5718.33111125805,4287.10170425756,80.954392314768,3132.90686747911,0,2407.98817771911,1807.43735725154,5802.11670569436,6766.22449527999,653.43832906099,2176.24797199741,1959.448590703,3555.40082594643,1005.87861009718
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_147.swc",18969.0649660118,4674.32524240008,0,1108.93146237307,0,0,6860.12371450174,5391.75032996687,3580.49883150195,680.964145083393,422.093073303997,0,545.60634833672,769.882302351053
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_149.swc",4611.80971347388,862.484974063793,0,492.899018598554,0,1024.7935260295,9142.25264444921,5145.32908937562,5170.34347542235,61.9775359878515,1423.558866972,131.669540123155,5330.81189771688,403.959977670339
"/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192106_150.swc",813.609715231366,0,0,0,0,0,0,4578.00080203004,0,8217.42702940018,55700.2975202834,0,9587.8164646781,653.224324872032
