"","Hemisphere","ProjectID","AxonType","SWCPath"
"180","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_095.swc"
"181","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_098.swc"
"182","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_102.swc"
"183","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_103.swc"
"184","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_106.swc"
"185","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_107.swc"
"186","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_112.swc"
"187","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_114.swc"
"188","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_116.swc"
"189","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_119.swc"
"190","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_124.swc"
"191","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_127.swc"
"192","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_128.swc"
"193","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_131.swc"
"194","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192310_132.swc"
"195","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_027.swc"
"196","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_030.swc"
"197","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_033.swc"
"198","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_037.swc"
"199","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_041.swc"
"200","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_043.swc"
"201","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_048.swc"
"202","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_050.swc"
"203","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_054.swc"
"204","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_055.swc"
"205","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_057.swc"
"206","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_059.swc"
"207","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_060.swc"
"208","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_062.swc"
"209","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_064.swc"
"210","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_067.swc"
"211","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_068.swc"
"212","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_073.swc"
"213","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_074.swc"
"214","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_075.swc"
"215","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_077.swc"
"216","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_101.swc"
"217","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_103.swc"
"218","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_109.swc"
"219","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_110.swc"
"220","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_111.swc"
"221","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_114.swc"
"222","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_115.swc"
"223","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_116.swc"
"224","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_117.swc"
"225","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_120.swc"
"226","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192311_121.swc"
"227","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_002.swc"
"228","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_007.swc"
"229","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_009.swc"
"230","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_010.swc"
"231","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_012.swc"
"232","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_013.swc"
"233","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_014.swc"
"234","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_015.swc"
"235","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_017.swc"
"236","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_018.swc"
"237","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_020.swc"
